admin_level,geo_admin0,adm0,geo_admin1,name,mean,l,u,pmean,ci95,pu,pl,psd
ADM1,th,Thailand,36821470B22029007258223,Surat Thani Province,49353,14911,62184,4.859024909752663,19.822388637369947,6.141972732541947,1.4591617719061225,5.460970812302127
ADM1,th,Thailand,36821470B23119655123949,Mukdahan Province,4768,1756,5882,1.3223562567813798,4.83412076532368,1.63183659761648,0.4914189737274984,1.416746254214681
ADM1,th,Thailand,36821470B23371188373360,Phitsanulok Province,22442,11189,28102,2.2305519372318012,6.292834039193698,2.80271484766762,1.1046279807535122,1.724380998162128
ADM1,th,Thailand,36821470B25269958791686,Lopburi Province,13935,6178,17542,1.911279650479657,6.068906417821569,2.4070291162329447,0.8373121478101764,1.679748951583176
ADM1,th,Thailand,36821470B2573550131326,Amnat Charoen Province,2064,831,2585,0.9580209897548826,3.3217240865309923,1.1956246999327669,0.3834297619526857,0.948721590022754
ADM1,th,Thailand,36821470B25757841068371,Mae Hong Son Province,10037,3372,12590,5.066649380431731,19.695609068463057,6.3559980856177285,1.709455464426169,5.445874222955682
ADM1,th,Thailand,36821470B25997690360286,Nakhon Ratchasima Province,40538,18090,50919,1.6173034889946794,5.04245320782196,2.034119745308014,0.7262783862439024,1.3982540901241551
ADM1,th,Thailand,36821470B26201996409674,Pathum Thani Province,40422,19165,50634,1.6826277563766086,4.973040982926749,2.1132475492960037,0.8001820309599113,1.3606518807848005
ADM1,th,Thailand,36821470B27162160815962,Songkhla Province,82098,38579,105488,5.439075941571308,16.17476890577658,6.98714136736456,2.5040439329097133,4.345130171847014
ADM1,th,Thailand,36821470B27711589175552,Suphan Buri Province,14686,6296,18533,1.9739181894828577,6.41648310420633,2.4935434313802993,0.8378681570524575,1.7889516500216147
ADM1,th,Thailand,36821470B28205534186964,Bangkok,179315,85188,225770,1.646850724892294,4.848643288420907,2.0753211678340047,0.7862610690140897,1.3313444490526456
ADM1,th,Thailand,36821470B29302790580634,Loei Province,9584,4205,12002,2.1605964032051226,6.870729351134423,2.7148525806731603,0.9492591505879996,1.919782041680528
ADM1,th,Thailand,36821470B30383242959155,Phatthalung Province,22908,9941,29550,5.420525968542008,16.887635776704382,6.998810040693119,2.349905641425646,4.579555265868854
ADM1,th,Thailand,36821470B31576844110237,Udon Thani Province,20923,8500,25934,2.0059351989714247,6.96638382219259,2.4827176878762853,0.8120793186446469,1.9798490952030163
ADM1,th,Thailand,36821470B32359336681268,Maha Sarakham Province,9004,4126,11307,1.3078208264237106,4.019500813058227,1.6424074528681896,0.599208492864807,1.1134720470017654
ADM1,th,Thailand,36821470B33248883540603,Phichit Province,10644,4997,13311,2.2015568146342863,6.607601110870335,2.76280061805996,1.0278993391135751,1.823788864990472
ADM1,th,Thailand,36821470B33387239802611,Nakhon Phanom Province,9464,3098,11457,1.9051458197515232,7.726925621708226,2.3155064083060424,0.6313989818124175,2.216189354209225
ADM1,th,Thailand,36821470B33660676013176,Surin Province,7892,3566,9886,0.8671388480907817,2.7074869449946934,1.0881703749719354,0.39133940684208546,0.7542249571049864
ADM1,th,Thailand,36821470B35048488642788,Lamphun Province,15481,5462,19254,4.060467367562093,15.136985092306189,5.034786010669478,1.4805486627701625,4.290525864093574
ADM1,th,Thailand,36821470B35986938804215,Trat Province,2333,1015,2960,1.1536442921960608,3.66261948306627,1.4570537213016193,0.5028246577125167,1.030562042194916
ADM1,th,Thailand,36821470B36862854436934,Chumphon Province,16101,4475,19950,3.9158567771097266,17.036111923343633,4.848632013347349,1.0877018624576749,4.682062857231765
ADM1,th,Thailand,36821470B38875339485596,Samut Sakhon Province,24255,10915,30353,1.6477704214934887,5.238490145266417,2.0907904572993186,0.7297494732327142,1.4088078921931226
ADM1,th,Thailand,36821470B39042729548948,Chon Buri Province,33665,15397,42757,1.6816495113587413,5.065433263980879,2.123167579962463,0.7840573006777234,1.3822053489931931
ADM1,th,Thailand,36821470B39609291405430,Nakhon Si Thammarat Province,66130,23111,84716,5.044678159134177,18.760910258204863,6.438627031418191,1.7707244896539145,5.108306889682598
ADM1,th,Thailand,36821470B39713231642809,Saraburi Province,15116,6885,18933,1.8244779887160456,5.631391769345751,2.291480055562739,0.8288649129296668,1.5615135708136352
ADM1,th,Thailand,36821470B40039443092989,Phetchaburi Province,8658,3381,10938,2.102795333037524,7.644472343150712,2.6571320629914945,0.7706667500439335,2.1233306661714635
ADM1,th,Thailand,36821470B44503461788953,Prachuap Khiri Khan Province,10634,3490,13294,2.5986608313808617,10.431417777758073,3.231491935663092,0.832556458866304,2.8992557863380255
ADM1,th,Thailand,36821470B45378358106724,Si Sa Ket Province,4879,2243,6151,0.6326866357224057,1.923388889529724,0.7972515505830298,0.29205651521578796,0.532574556608897
ADM1,th,Thailand,36821470B48254980905782,Nong Bua Lam Phu Province,8848,3821,10961,1.9828366716991344,6.488988192204082,2.4603396501327253,0.8578392994077697,1.8601101387610364
ADM1,th,Thailand,36821470B4901960309299,Buri Ram Province,12149,5409,15305,1.1865760218411638,3.735579650272886,1.4932614810288989,0.5302879330285726,1.0345847274128472
ADM1,th,Thailand,36821470B51648105446388,Kanchanaburi Province,17492,6885,22037,2.5905705964443193,9.153640997264665,3.261109061756337,0.997773979130885,2.548094741021131
ADM1,th,Thailand,36821470B55463016005684,Phetchabun Province,16562,7721,20837,1.9773876756856168,5.961124891482482,2.489491876873718,0.9206804643021224,1.6398975070606896
ADM1,th,Thailand,36821470B56766861882179,Ratchaburi Province,14476,5960,18272,1.9881783870954464,6.986370967727609,2.502154602320327,0.7764091414393375,1.9233098636990893
ADM1,th,Thailand,36821470B56894586168151,Uttaradit Province,10282,4526,12964,2.6223827436161944,8.40949292590072,3.3083576325102366,1.1413617026541591,2.3373976280606
ADM1,th,Thailand,36821470B57700323442314,Trang Province,30407,11959,38889,5.580885003066603,19.18837297955767,7.132503141081172,2.200976644342316,5.163938124122902
ADM1,th,Thailand,36821470B57809552794573,Bueng Kan Province,7935,2545,9651,2.4978905662440334,10.201113536365392,3.045081589131648,0.8001240550392561,2.9431189769887376
